epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.5372,1.61649,4.47329,1.96894,0.00102,0.30208,0.01054,0.00239,1.45513,4.06998,2.40254,6.668e-05,6.668e-05,6.668e-05
2,10.662,1.60707,4.47321,1.93469,0.00327,0.94792,0.27824,0.14292,0.99136,3.6512,1.63361,0.000149733,0.000149733,0.000149733
3,14.3019,1.2279,3.65046,1.52888,0.00333,1,0.52559,0.32286,1.11647,3.21919,1.39282,0.000232456,0.000232456,0.000232456
4,18.7785,1.16764,2.97493,1.3085,0.00352,1,0.54893,0.36353,0.95558,2.88527,1.25965,0.000314849,0.000314849,0.000314849
5,22.7258,1.14436,2.60068,1.25533,0.00363,1,0.54879,0.37209,0.90909,2.80494,1.1811,0.000396911,0.000396911,0.000396911
6,26.4853,1.09271,2.43926,1.22312,0.00347,1,0.52014,0.32785,0.86972,2.81975,1.16021,0.000478644,0.000478644,0.000478644
7,30.3135,1.04063,2.2555,1.16205,0.00339,1,0.57764,0.39537,0.83578,2.69953,1.13968,0.000560047,0.000560047,0.000560047
8,35.0603,1.03518,2.15175,1.18178,0.30014,0.32895,0.63784,0.41353,0.96556,2.4706,1.30896,0.000641119,0.000641119,0.000641119
9,38.6511,1.10543,2.07148,1.22459,0.47911,0.54076,0.41773,0.25241,1.32776,2.7952,1.52957,0.000721862,0.000721862,0.000721862
10,42.4963,1.05269,2.04135,1.18139,0.49074,0.875,0.5799,0.36844,1.19889,2.08634,1.46917,0.000802274,0.000802274,0.000802274
11,47.1494,1.0023,1.91741,1.14244,0.48997,0.95004,0.60555,0.42075,1.10969,1.91748,1.36434,0.000882356,0.000882356,0.000882356
12,51.1532,1.03912,1.86788,1.1724,0.4763,0.97917,0.65033,0.47621,1.07838,1.82073,1.29368,0.000962109,0.000962109,0.000962109
13,54.7777,1.00251,1.88773,1.1483,0.48719,0.91205,0.60881,0.40654,1.1969,1.78644,1.56222,0.00104153,0.00104153,0.00104153
14,58.5376,1.03294,1.80219,1.15351,0.49801,0.84246,0.60575,0.40891,1.04305,2.09023,1.27002,0.00112062,0.00112062,0.00112062
15,62.5776,1.07832,1.85054,1.19819,0.45638,0.87052,0.59045,0.39641,1.16921,2.12036,1.35974,0.00119939,0.00119939,0.00119939
16,66.4339,1.05929,1.86808,1.17542,0.47319,0.88542,0.65642,0.387,1.14041,1.79584,1.4063,0.00127782,0.00127782,0.00127782
17,69.8434,1.09944,1.80084,1.20714,0.4359,0.92708,0.63592,0.43888,1.12915,1.7813,1.32651,0.00135592,0.00135592,0.00135592
18,73.8457,1.12406,1.70572,1.19957,0.46188,0.69575,0.51298,0.33449,1.25081,2.12124,1.44167,0.00143369,0.00143369,0.00143369
19,78.2252,1.15482,1.71239,1.2315,0.42915,0.57549,0.54284,0.35181,1.30484,2.2977,1.45231,0.00151113,0.00151113,0.00151113
20,81.9653,1.04799,1.7254,1.16657,0.35331,0.7612,0.53715,0.33459,1.15211,2.54235,1.39154,0.00158824,0.00158824,0.00158824
21,85.3535,1.0507,1.53473,1.14251,0.77339,0.40625,0.48933,0.29999,1.19059,2.34504,1.48264,0.00160099,0.00160099,0.00160099
22,90.1667,1.04315,1.58434,1.17734,0.38369,0.53125,0.38469,0.2066,1.27455,2.19395,1.51197,0.00159769,0.00159769,0.00159769
23,93.9053,1.08527,1.5214,1.18158,0.70752,0.38228,0.42957,0.26346,1.36985,2.38183,1.5571,0.00159439,0.00159439,0.00159439
24,97.5784,1.04904,1.49817,1.14107,0.50069,0.83333,0.63516,0.44234,1.12625,1.73436,1.35333,0.00159108,0.00159108,0.00159108
25,101.568,1.01646,1.4237,1.17168,0.64265,0.53125,0.59647,0.41216,1.06903,1.70965,1.31039,0.00158778,0.00158778,0.00158778
26,106.357,1.03491,1.39724,1.16715,0.78173,0.34375,0.39074,0.23366,1.40935,4.0763,1.57792,0.00158448,0.00158448,0.00158448
27,109.886,1.09639,1.38958,1.17793,0.71772,0.40987,0.32629,0.22989,1.06738,4.67206,1.35419,0.00158118,0.00158118,0.00158118
28,113.43,0.98222,1.34434,1.12674,0.45436,0.54167,0.48022,0.31539,1.05734,1.93295,1.31312,0.00157788,0.00157788,0.00157788
29,117.38,1.03696,1.29685,1.14946,0.52674,0.55208,0.4847,0.35183,1.06472,1.92161,1.30191,0.00157458,0.00157458,0.00157458
30,121.863,1.00369,1.27164,1.11395,0.69564,0.35417,0.33129,0.21038,1.31594,4.49181,1.41581,0.00157128,0.00157128,0.00157128
31,125.412,0.95297,1.189,1.12864,0.60351,0.22917,0.07028,0.02308,2.8141,6.44998,2.49381,0.00156798,0.00156798,0.00156798
32,129.092,1.02292,1.25554,1.14859,0.3406,0.36543,0.37941,0.25284,1.09105,2.62161,1.26135,0.00156468,0.00156468,0.00156468
33,133.172,0.94697,1.14029,1.10034,0.23059,0.36806,0.32423,0.2031,1.13882,2.8268,1.29692,0.00156138,0.00156138,0.00156138
34,137.132,0.94606,1.20391,1.1229,0.28094,0.64528,0.39902,0.2542,1.19715,1.91881,1.33823,0.00155808,0.00155808,0.00155808
35,140.76,0.97483,1.11932,1.12027,0.27338,0.22917,0.26632,0.13976,1.4326,2.22421,1.51684,0.00155478,0.00155478,0.00155478
36,144.523,0.95435,1.08401,1.0941,0.75548,0.375,0.37179,0.2661,1.02645,2.56729,1.22974,0.00155148,0.00155148,0.00155148
37,149.284,0.98158,1.12416,1.09984,0.28094,0.6875,0.41995,0.28958,1.13925,2.03635,1.32611,0.00154818,0.00154818,0.00154818
38,153.025,1.03257,1.15819,1.13547,0.41238,0.80863,0.50865,0.32094,1.12966,1.5306,1.28514,0.00154488,0.00154488,0.00154488
39,156.518,1.03746,1.07677,1.14512,0.33373,0.83333,0.47434,0.31641,1.10099,1.6408,1.30588,0.00154157,0.00154157,0.00154157
40,161.116,0.99839,1.12134,1.12691,0.58047,0.625,0.58217,0.4101,1.08488,1.63025,1.28277,0.00153827,0.00153827,0.00153827
41,164.982,0.9299,1.00637,1.08072,0.75492,0.41667,0.31136,0.20152,1.17235,2.25897,1.33896,0.00153497,0.00153497,0.00153497
42,168.356,0.98968,1.05581,1.12164,0.54107,0.63542,0.58626,0.41631,1.0468,1.92659,1.29212,0.00153167,0.00153167,0.00153167
43,172.168,0.9808,1.08363,1.10633,0.63269,0.47917,0.37115,0.23209,1.25243,3.50675,1.49775,0.00152837,0.00152837,0.00152837
44,176.752,1.0043,1.09812,1.10532,0.36905,0.41667,0.34401,0.22343,1.09934,3.25419,1.29578,0.00152507,0.00152507,0.00152507
45,180.778,0.92271,1.03287,1.08019,0.51203,0.46875,0.36122,0.23027,1.19874,3.25768,1.33088,0.00152177,0.00152177,0.00152177
46,184.259,0.95054,1.00086,1.1058,0.34863,0.51469,0.41693,0.28218,1.10344,2.62606,1.30632,0.00151847,0.00151847,0.00151847
47,188.509,0.9014,0.98857,1.06775,0.29698,0.57292,0.4069,0.23837,1.35776,3.7846,1.49602,0.00151517,0.00151517,0.00151517
48,192.6,0.87236,0.96011,1.07807,0.42552,0.68246,0.43412,0.2913,1.18636,2.03155,1.34238,0.00151187,0.00151187,0.00151187
49,196.169,0.90963,1.00352,1.09311,0.49012,0.63697,0.6103,0.37793,1.30231,1.85414,1.45767,0.00150857,0.00150857,0.00150857
50,199.74,0.92781,0.96013,1.09108,0.77765,0.5,0.51061,0.3218,1.21107,2.22133,1.37072,0.00150527,0.00150527,0.00150527
51,204.285,0.95535,0.95203,1.12389,0.78596,0.47328,0.49481,0.31702,1.16361,1.91618,1.34339,0.00150197,0.00150197,0.00150197
52,207.977,0.87205,0.86847,1.06972,0.58886,0.5625,0.48021,0.32938,1.01507,1.746,1.2484,0.00149867,0.00149867,0.00149867
53,211.664,0.92592,0.9522,1.07368,0.47314,0.41739,0.37256,0.25845,1.05546,2.28721,1.29985,0.00149537,0.00149537,0.00149537
54,215.515,0.87271,0.88468,1.07585,0.38961,0.5351,0.40178,0.28837,0.99924,2.27487,1.24114,0.00149207,0.00149207,0.00149207
55,219.91,0.95507,0.89495,1.10405,0.58879,0.69792,0.5642,0.38849,1.06571,1.45942,1.3284,0.00148876,0.00148876,0.00148876
56,223.53,0.88611,0.81162,1.06315,0.50796,0.63227,0.53139,0.38354,1.00454,1.65571,1.2278,0.00148546,0.00148546,0.00148546
57,227.288,0.92727,0.87033,1.07097,0.53412,0.63616,0.57534,0.39656,1.05797,1.55376,1.30258,0.00148216,0.00148216,0.00148216
58,231.262,0.92109,0.8326,1.08881,0.57758,0.63542,0.58208,0.39388,1.06384,1.29474,1.27431,0.00147886,0.00147886,0.00147886
59,235.7,0.93525,0.85307,1.10254,0.47994,0.61945,0.49228,0.32118,1.19093,1.63234,1.39239,0.00147556,0.00147556,0.00147556
60,239.41,0.89117,0.93274,1.06302,0.47531,0.60417,0.50696,0.3333,1.11387,1.67259,1.31055,0.00147226,0.00147226,0.00147226
61,243.219,0.91454,0.87861,1.08427,0.76977,0.4375,0.3936,0.26766,1.13991,2.0529,1.30971,0.00146896,0.00146896,0.00146896
62,247.765,0.89079,0.87521,1.07282,0.408,0.51042,0.41465,0.25332,1.21307,1.94171,1.4716,0.00146566,0.00146566,0.00146566
63,251.34,0.88459,0.8241,1.04773,0.55982,0.70833,0.59899,0.40473,1.10953,1.35765,1.36674,0.00146236,0.00146236,0.00146236
64,254.788,0.88801,0.88989,1.07648,0.43578,0.65734,0.43349,0.25674,1.24193,1.75867,1.48241,0.00145906,0.00145906,0.00145906
65,258.719,0.89386,0.83038,1.0477,0.35487,0.7057,0.45027,0.28114,1.2705,1.82369,1.47659,0.00145576,0.00145576,0.00145576
66,263.364,0.90092,0.79532,1.09406,0.65681,0.69792,0.67721,0.44265,1.20089,1.26493,1.44174,0.00145246,0.00145246,0.00145246
67,267.09,0.89515,0.81281,1.07759,0.68097,0.66472,0.66883,0.46113,1.16551,1.14747,1.43405,0.00144916,0.00144916,0.00144916
68,270.639,0.91776,0.88393,1.08628,0.59151,0.86061,0.75078,0.52348,1.13238,1.07864,1.37906,0.00144586,0.00144586,0.00144586
69,275.341,0.87578,0.80052,1.07725,0.65004,0.84173,0.78607,0.5725,1.07486,1.06374,1.27413,0.00144256,0.00144256,0.00144256
70,279.197,0.88427,0.76465,1.04728,0.62814,0.78086,0.71043,0.49885,1.04864,1.21472,1.25151,0.00143925,0.00143925,0.00143925
71,282.921,0.84498,0.76422,1.04868,0.53292,0.85036,0.63319,0.43023,1.10561,1.33351,1.27507,0.00143595,0.00143595,0.00143595
72,286.446,0.87829,0.75192,1.04987,0.42369,0.72085,0.54303,0.36726,1.15645,1.58084,1.41541,0.00143265,0.00143265,0.00143265
73,292.271,0.84238,0.73683,1.03459,0.47388,0.62206,0.53892,0.36677,1.1436,1.54576,1.43173,0.00142935,0.00142935,0.00142935
74,295.817,0.88874,0.74742,1.06034,0.55758,0.63542,0.52185,0.35017,1.14405,1.55082,1.35886,0.00142605,0.00142605,0.00142605
75,299.324,0.87013,0.79756,1.06879,0.52722,0.69086,0.48865,0.31234,1.25074,1.57064,1.45085,0.00142275,0.00142275,0.00142275
76,303.395,0.86403,0.79973,1.07439,0.6647,0.67708,0.56323,0.38322,1.04936,1.49741,1.27158,0.00141945,0.00141945,0.00141945
